category	text
1	"Robust IO tools for loading data. "
1	"Is totally reliable and consistently perform the required software functions. "
1	"Provides internal system controls to ensure accuracy, integrity and completeness eg data input and accuracy checks, validation, authorisation. "
1	"Maintains full records eg to: trace any transaction item, provide a full audit trail, provide a full record of all balances and transactions. "
1	"Supports manual control procedures eg control reports. "
1	"Provides system security via multiple, configurable passwords  / levels of security. "
1	"Provides backup and restore facilities for programs and data. "
1	"Supports your organisation, by running over your (chosen) network, database and hardware platform(s). "
1	"A curated list of Site Reliability and Production Engineering resources. "
1	"A lightweight powerful flow control component enabling reliability and monitoring for microservices. "
1	"Hacker News client with a focus on reliability and robustness. "
1	"Fundamentally, it's what happens when you ask a software engineer to design an operations function. "
1	"The Irreproducibility Of Bugs In Large-Scale Production Systems. "
1	"track down the problem, reproduce the bug, test and deploy the fix" cycle simply does not work in most large and complex production systems.  "
1	"The Site Reliability Workbook is the hands-on companion to the bestselling Site Reliability Engineering book and uses concrete examples to show how to put SRE principles and practices to work.  "
1	"Sysadmins are then tasked with running the service and responding to events and updates as they occur. As the system grows in complexity and traffic volume, generating a corresponding increase in events and updates, the sysadmin team grows to absorb the additional work.This file is part of Exploit Reliability Testing System. "
1	"Exploit Reliability Testing System is used to test reliability of hitting EIP=0x41414141.  "
1	"This system is aimed at finding how much an exploit is reliable. "
1	"Once I started looking into the vulnerability, I realized that this vulnerability is unreliable due to the fact that there is a very small window between free and use of the freed object. "
1	"Software testing is a process, to evaluate the functionality of a software application with an intent to find whether the developed software met the specified requirements or not and to identify the defects to ensure that the product is defect free in order to produce the quality product. "
1	"Checking that system responds correctly to all kinds of inputs. "
1	"As the number of possible tests for even simple software components is practically infinite, all software testing uses some strategy to select tests that are feasible for the available time and resources. "
1	"Not all software defects are caused by coding errors.  "
1	"One common source of expensive defects is requirement gaps, i.e., unrecognized requirements that result in errors of omission by the program designer. "
1	"A fundamental problem with software testing is that testing under all combinations of inputs and preconditions (initial state) is not feasible, even with a simple product. "
1	"A study conducted by NIST in 2002 reports that software bugs cost the U.S. economy $59.5 billion annually. More than a third of this cost could be avoided, if better software testing was performed. "
1	"This repository is for the Reliability Test System Grid Modernization Lab Consortium (RTS-GMLC) which is an updated version of the RTS-96 test system. "
1	"Cassandra is a distributed storage system for managing structured data while providing reliability at a massive scale. "
1	"CrashMonkey: tools for testing file-system reliability. "
1	"The FSCQ bug would result in fdatasync not persisting data correctly to the file system. "
1	"A software bug is an error, flaw, failure or fault in a computer program or system that causes it to produce an incorrect or unexpected result, or to behave in unintended ways.  "
1	"The process of finding and fixing bugs is termed "debugging" and often uses formal techniques or tools to pinpoint bugs, and since the 1950s, some computer systems have been designed to also deter, detect or auto-correct various computer bugs during operations. "
1	"Most bugs arise from mistakes and errors made in either a program's source code or its design, or in components and operating systems used by such programs.  "
1	"A few are caused by compilers producing incorrect code.  "
1	"A program that contains a large number of bugs, and/or bugs that seriously interfere with its functionality, is said to be buggy (defective).  "
1	"Bugs can trigger errors that may have ripple effects. "
